"","latlon","lat","lon","site_name","id","map","mean_storm_size","median_storm_size","sd_storm_size","storm_freq","map_reanalysis","mean_temp","median_temp","sd_temp","mean_storm_size_fy","median_storm_size_fy","sd_storm_size_fy","storm_freq_fy","map_reanalysis_fy"
"20","-29.25152.124",-29.25,152.124,"AU_Nsw",90,1134,10.6421495577791,7.06845741152806,10.4009821357561,7.72505186721992,730.236293441611,17.9634678392759,18.1022798018022,3.82604893763508,10.3851025094677,6.7779795243934,10.3993841501921,6.49772574158382,921.14895479072
"21","-21.182165.292",-21.182,165.292,"NC_Nord",91,1579,15.7394700784336,8.67178452719765,19.7889960477439,8.84006900353184,1809.36361598646,21.9435611208299,22.0445104425603,2.36308560759624,15.7394700784336,8.67178452719765,19.7889960477439,8.84006900353184,1809.36361598646
"22","-20.4544.817",-20.45,44.817,"MG_Kirindy",92,770,17.7633398885957,9.94587538922629,21.4484099564919,3.63346875446584,806.152347756598,24.751101058097,25.214174860174,2.76232030359133,17.7633398885957,9.94587538922629,21.4484099564919,3.63346875446584,806.152347756598
"23","42.35-71.083",42.35,-71.083,"USA_Ma_Harvard",94,1086,10.6328512381428,7.4202797314766,9.96947415869455,7.9516129032258,569.743226755949,17.3442428872266,17.9319358132102,5.22447074928625,11.3565548150068,7.77090360262347,10.540129928815,8.03816221954556,1197.99093730773
"24","-19.183145.75",-19.183,145.75,"AU_Qld_ManyPeaks",96,1132,11.5524274815785,7.33182789233979,12.0520776843419,4.2008880632056,675.52632889344,22.9456461349176,23.5808306607333,3.85397924750765,11.5524274815785,7.33182789233979,12.0520776843419,4.2008880632056,675.52632889344
"25","10.35-85.35",10.35,-85.35,"CR_PaloVerde",100,1460,11.4269731260775,7.50073352479376,11.803371312819,13.6104485229569,2002.92539493354,27.3698349144417,27.3051288951526,1.17534334143494,11.4269731260775,7.50073352479376,11.803371312819,13.6104485229569,2002.92539493354
"26","10.417-84",10.417,-84,"CR_LaSelva",101,4200,13.4498165843804,9.33249619419009,12.7412276319085,20.8751893514076,3519.82084975608,22.9349686724286,22.9035569624467,1.01183637477551,13.4498165843804,9.33249619419009,12.7412276319085,20.8751893514076,3519.82084975608
"27","9.167-79.846",9.167,-79.846,"PA_BCI",102,2600,12.3571347363329,9.22536745932038,11.1603771703138,19.3350325623175,3021.42623311318,26.06767810981,26.0281674471768,0.956021586783601,12.3571347363329,9.22536745932038,11.1603771703138,19.3350325623175,3021.42623311318
"28","40.7-111.683",40.7,-111.683,"USA_Ut_Millcreek",111,757,11.9882709967107,8.90474442842374,9.57634094942091,2.27667984189723,100.767780395676,17.1653609541942,17.6403570001775,3.8585373939068,7.75053435639383,5.55211540433282,6.59747010879301,4.71088132617439,515.147675503135
"29","30.6520.3",30.65,20.3,"GR_Epirus_1",114,1364,9.48943321305161,6.90655398907521,7.98998697739015,1.37323765387992,181.603513331784,20.5041042692646,21.3096135919744,5.67428166769749,9.48943321305161,6.90655398907521,7.98998697739015,1.37323765387992,181.603513331784
"30","21.5-157.833",21.5,-157.833,"USA_Hi_Oahu",121,2220,8.2838458243892,5.22108436567413,8.94431762583612,6.0869342424923,767.10338092294,22.3997794197619,22.5865355058149,1.53283261423755,8.2838458243892,5.22108436567413,8.94431762583612,6.0869342424923,767.10338092294
