"","family","genus","species","binomial","P50","P12","P88","Ks","location","country","lat","lon","mat","biome","site_name","map","map_jan","map_feb","map_mar","map_apr","map_may","map_jun","map_jul","map_aug","map_sep","map_oct","map_nov","map_dec","map_cru","sd_map","log_P50","log_Ks","mean_storm_size","median_storm_size","sd_storm_size","storm_freq","map_reanalysis","a_m","mean_temp"
"27","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens",NA,NA,NA,2.67,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,0.982078472412158,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"28","Fabaceae","Hymenaea","stigonocarpa","Hymenaea stigonocarpa",-3.17,NA,NA,3.59,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-1.15373158788919,1.27815220250019,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"29","Vochysiaceae","Qualea","parviflora","Qualea parviflora",-1.65,NA,-5.1,0.94,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-0.500775287912489,-0.0618754037180875,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,10.4,21.8795418364382
"30","Fabaceae","Sclerolobium","paniculatum","Sclerolobium paniculatum",-3.4,-2.61,-4.51,6,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-1.22377543162212,1.79175946922805,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,14.8,21.8795418364382
"31","Fabaceae","Sclerolobium","paniculatum","Sclerolobium paniculatum",-3.4,-3.09,-3.65,4.2,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-1.22377543162212,1.43508452528932,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,16.2,21.8795418364382
"32","Fabaceae","Sclerolobium","paniculatum","Sclerolobium paniculatum",-3.2,-2.79,-3.55,3.6,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-1.16315080980568,1.28093384546206,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,14.2,21.8795418364382
"33","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius",-1.72,-0.21,-4.08,2.28,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-0.542324290825362,0.824175442966349,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"34","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum",NA,NA,NA,4.02,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,1.39128190263093,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"35","Fabaceae","Sclerolobium","paniculatum","Sclerolobium paniculatum",NA,NA,NA,NA,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,NA,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,13.7,21.8795418364382
"36","Symplocaceae","Symplocos","mosenii","Symplocos mosenii",-1.6,NA,NA,4.78,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-0.470003629245736,1.56444054650336,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"37","Clusiaceae","Kielmeyera","coriacea","Kielmeyera coriacea",NA,NA,NA,0.93,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,-0.0725706928348354,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,11.5,21.8795418364382
"38","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora",NA,NA,NA,NA,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,NA,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,11.9,21.8795418364382
"39","Nyctaginaceae","Guapira","noxia","Guapira noxia",NA,NA,NA,3.7,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,1.30833281965018,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"40","","","","Symplocos mosenii",-1.6,NA,NA,4.78,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.470003629245736,1.56444054650336,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"41","","","","Aegiphila Ihotzkiana",NA,NA,NA,6.17,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8196988379173,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"42","","","","Aegiphila selloiana",NA,NA,NA,13.78,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62321826558551,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"43","","","","Miconia pohliana",-3.1,NA,NA,4.73,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1314021114911,1.55392520250384,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"44","","","","Styrax ferrugineus",-3.35,NA,NA,2.59,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20896034583698,0.951657875711446,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"45","","","","Styrax pohlii",-2,NA,NA,3.45,"IBGE Ecological reserve","Brazil",-15.9333333333333,-47.8833333333333,NA,"TRS","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147180559945,1.23837423104327,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
