"binomial","P50","Ks","lat","lon","log_P50","log_Ks","mean_storm_size","median_storm_size","sd_storm_size","storm_freq","map_reanalysis","mean_temp","nspp","site_name","mat","a_m","map_reanalysis_scaled","storm_freq_scaled","mean_storm_size_scaled","mean_temp_scaled"
"Aegiphila selloiana",NA,13.78,-15.9333333333333,-47.8833333333333,NA,2.62321826558551,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Miconia pohliana",-3.1,4.73,-15.9333333333333,-47.8833333333333,-1.1314021114911,1.55392520250384,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Styrax ferrugineus",-3.35,2.59,-15.9333333333333,-47.8833333333333,-1.20896034583698,0.951657875711446,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Styrax pohlii",-2,3.45,-15.9333333333333,-47.8833333333333,-0.693147180559945,1.23837423104327,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Hymenaea stigonocarpa",-3.17,3.59,-15.9333333333333,-47.8833333333333,-1.15373158788919,1.27815220250019,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Hymenaea martiana",-2.8,2.94,-15.9333333333333,-47.8833333333333,-1.02961941718116,1.07840958135059,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Myrsine guianensis",-2.12,2,-15.9333333333333,-47.8833333333333,-0.751416088683921,0.693147180559945,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Myrsine ferruginea",-3.08,3.25,-15.9333333333333,-47.8833333333333,-1.12492959698548,1.17865499634165,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Symplocos lanceolata",-1.5,1.62,-15.9333333333333,-47.8833333333333,-0.405465108108164,0.482426149244293,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Miconia cuspidata",-3.4,5.37,-15.9333333333333,-47.8833333333333,-1.22377543162212,1.68082790852077,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Corymbia intermedia",NA,9.06,-18.296,145.4927,NA,2.20386912005489,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,8.656,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Corymbia trachyphloia",NA,8.03,-18.296,145.4927,NA,2.08318452795867,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,13.454,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Bursaria incana",NA,NA,-18.296,145.4927,NA,NA,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,5.06,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Corymbia citriodora",NA,11.91,-18.296,145.4927,NA,2.47737838336721,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,16.1,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Acacia flavescens",NA,5.78,-18.296,145.4927,NA,1.75440368268429,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,15.2,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Acacia leptostachya",NA,0.28,-18.296,145.4927,NA,-1.27296567581289,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,9.738,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Pogonolobus reticulatus",NA,NA,-18.296,145.4927,NA,NA,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,10.622,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Xylomelum scottianum",NA,1.23,-18.296,145.4927,NA,0.207014169384326,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,9.842,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Gastrolobium grandiflorum",NA,5.54,-18.296,145.4927,NA,1.71199450075919,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,8.83,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Grevillea glauca",NA,11.42,-18.296,145.4927,NA,2.43536620422786,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,9.382,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Grevillea parallela",NA,6.07,-18.296,145.4927,NA,1.80335860507141,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,14.092,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Eucalyptus portuensis",NA,7.92,-18.296,145.4927,NA,2.06939120582633,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,13.12,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
"Persoonia falcata",NA,3.88,-18.296,145.4927,NA,1.35583515363518,11.5624037498186,7.00860345064112,12.808742547883,5.27086948533165,844.730568893236,21.544519297069,17,"",NA,14.146,-0.140914038122546,-0.388683996057829,-0.00367502583440683,0.603186717464755
